STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2008,Cattle: 1-2 years,Border,000 Head,215.3
Number of Livestock in June,2008,Cattle: 1-2 years,Midland,000 Head,216.7
Number of Livestock in June,2008,Cattle: 1-2 years,West,000 Head,232.7
Number of Livestock in June,2008,Cattle: 1-2 years,Dublin plus Mid East,000 Head,150.3
Number of Livestock in June,2008,Cattle: 1-2 years,Mid-West,000 Head,245.6
Number of Livestock in June,2008,Cattle: 1-2 years,South-East,000 Head,326.4
Number of Livestock in June,2008,Cattle: 1-2 years,South-West,000 Head,317
Number of Livestock in June,2008,Cattle: under 1 year,Border,000 Head,269.6
Number of Livestock in June,2008,Cattle: under 1 year,Midland,000 Head,218.6
Number of Livestock in June,2008,Cattle: under 1 year,West,000 Head,289.5
Number of Livestock in June,2008,Cattle: under 1 year,Dublin plus Mid East,000 Head,141.1
Number of Livestock in June,2008,Cattle: under 1 year,Mid-West,000 Head,296.3
Number of Livestock in June,2008,Cattle: under 1 year,South-East,000 Head,354.1
Number of Livestock in June,2008,Cattle: under 1 year,South-West,000 Head,390.2
Number of Livestock in June,2009,Dairy cows,Border,000 Head,103.4
Number of Livestock in June,2009,Dairy cows,Midland,000 Head,75.8
Number of Livestock in June,2009,Dairy cows,West,000 Head,50.4
Number of Livestock in June,2009,Dairy cows,Dublin plus Mid East,000 Head,78
Number of Livestock in June,2009,Dairy cows,Mid-West,000 Head,174.3
Number of Livestock in June,2009,Dairy cows,South-East,000 Head,242.9
Number of Livestock in June,2009,Dairy cows,South-West,000 Head,371.8
Number of Livestock in June,2009,Other cows,Border,000 Head,212.6
Number of Livestock in June,2009,Other cows,Midland,000 Head,151.9
Number of Livestock in June,2009,Other cows,West,000 Head,263.2
Number of Livestock in June,2009,Other cows,Dublin plus Mid East,000 Head,94.6
Number of Livestock in June,2009,Other cows,Mid-West,000 Head,168.2
Number of Livestock in June,2009,Other cows,South-East,000 Head,166.8
Number of Livestock in June,2009,Other cows,South-West,000 Head,146.4
Number of Livestock in June,2009,Bulls,Border,000 Head,9.2
Number of Livestock in June,2009,Bulls,Midland,000 Head,5.9
Number of Livestock in June,2009,Bulls,West,000 Head,8.6
Number of Livestock in June,2009,Bulls,Dublin plus Mid East,000 Head,4.5
Number of Livestock in June,2009,Bulls,Mid-West,000 Head,8.3
Number of Livestock in June,2009,Bulls,South-East,000 Head,8.5
Number of Livestock in June,2009,Bulls,South-West,000 Head,10.2
Number of Livestock in June,2009,Cattle: 2 years and over,Border,000 Head,105
Number of Livestock in June,2009,Cattle: 2 years and over,Midland,000 Head,134.1
Number of Livestock in June,2009,Cattle: 2 years and over,West,000 Head,138.1
Number of Livestock in June,2009,Cattle: 2 years and over,Dublin plus Mid East,000 Head,109.5
Number of Livestock in June,2009,Cattle: 2 years and over,Mid-West,000 Head,133.7
Number of Livestock in June,2009,Cattle: 2 years and over,South-East,000 Head,156.9
Number of Livestock in June,2009,Cattle: 2 years and over,South-West,000 Head,133.2
Number of Livestock in June,2009,Cattle: 1-2 years,Border,000 Head,220.5
Number of Livestock in June,2009,Cattle: 1-2 years,Midland,000 Head,221
Number of Livestock in June,2009,Cattle: 1-2 years,West,000 Head,234.3
Number of Livestock in June,2009,Cattle: 1-2 years,Dublin plus Mid East,000 Head,151.7
Number of Livestock in June,2009,Cattle: 1-2 years,Mid-West,000 Head,250
Number of Livestock in June,2009,Cattle: 1-2 years,South-East,000 Head,332.6
Number of Livestock in June,2009,Cattle: 1-2 years,South-West,000 Head,325.4
Number of Livestock in June,2009,Cattle: under 1 year,Border,000 Head,257.9
Number of Livestock in June,2009,Cattle: under 1 year,Midland,000 Head,210.2
Number of Livestock in June,2009,Cattle: under 1 year,West,000 Head,273.5
Number of Livestock in June,2009,Cattle: under 1 year,Dublin plus Mid East,000 Head,137.9
Number of Livestock in June,2009,Cattle: under 1 year,Mid-West,000 Head,282.4
Number of Livestock in June,2009,Cattle: under 1 year,South-East,000 Head,348.9
Number of Livestock in June,2009,Cattle: under 1 year,South-West,000 Head,378.1
Number of Livestock in June,2010,Dairy cows,Border,000 Head,97.6
Number of Livestock in June,2010,Dairy cows,Midland,000 Head,73.1
Number of Livestock in June,2010,Dairy cows,West,000 Head,45.1
Number of Livestock in June,2010,Dairy cows,Dublin plus Mid East,000 Head,76
Number of Livestock in June,2010,Dairy cows,Mid-West,000 Head,167.5
Number of Livestock in June,2010,Dairy cows,South-East,000 Head,243
Number of Livestock in June,2010,Dairy cows,South-West,000 Head,368.5
Number of Livestock in June,2010,Other cows,Border,000 Head,205.4
Number of Livestock in June,2010,Other cows,Midland,000 Head,146.1
Number of Livestock in June,2010,Other cows,West,000 Head,250.3
Number of Livestock in June,2010,Other cows,Dublin plus Mid East,000 Head,92.9
Number of Livestock in June,2010,Other cows,Mid-West,000 Head,160.3
Number of Livestock in June,2010,Other cows,South-East,000 Head,160.8
Number of Livestock in June,2010,Other cows,South-West,000 Head,142.7
Number of Livestock in June,2010,Bulls,Border,000 Head,9.2
Number of Livestock in June,2010,Bulls,Midland,000 Head,5.8
Number of Livestock in June,2010,Bulls,West,000 Head,9.4
Number of Livestock in June,2010,Bulls,Dublin plus Mid East,000 Head,3.6
Number of Livestock in June,2010,Bulls,Mid-West,000 Head,7.7
Number of Livestock in June,2010,Bulls,South-East,000 Head,7.6
Number of Livestock in June,2010,Bulls,South-West,000 Head,9.6
Number of Livestock in June,2010,Cattle: 2 years and over,Border,000 Head,106.8
Number of Livestock in June,2010,Cattle: 2 years and over,Midland,000 Head,138.6
Number of Livestock in June,2010,Cattle: 2 years and over,West,000 Head,139
Number of Livestock in June,2010,Cattle: 2 years and over,Dublin plus Mid East,000 Head,111.6
Number of Livestock in June,2010,Cattle: 2 years and over,Mid-West,000 Head,139.2
Number of Livestock in June,2010,Cattle: 2 years and over,South-East,000 Head,163.4
Number of Livestock in June,2010,Cattle: 2 years and over,South-West,000 Head,143.3
Number of Livestock in June,2010,Cattle: 1-2 years,Border,000 Head,208.4
Number of Livestock in June,2010,Cattle: 1-2 years,Midland,000 Head,208.3
Number of Livestock in June,2010,Cattle: 1-2 years,West,000 Head,208.7
Number of Livestock in June,2010,Cattle: 1-2 years,Dublin plus Mid East,000 Head,145.7
Number of Livestock in June,2010,Cattle: 1-2 years,Mid-West,000 Head,228.4
Number of Livestock in June,2010,Cattle: 1-2 years,South-East,000 Head,315.7
Number of Livestock in June,2010,Cattle: 1-2 years,South-West,000 Head,306.2
Number of Livestock in June,2010,Cattle: under 1 year,Border,000 Head,248.4
Number of Livestock in June,2010,Cattle: under 1 year,Midland,000 Head,196.2
Number of Livestock in June,2010,Cattle: under 1 year,West,000 Head,255.5
Number of Livestock in June,2010,Cattle: under 1 year,Dublin plus Mid East,000 Head,133.3
Number of Livestock in June,2010,Cattle: under 1 year,Mid-West,000 Head,256.1
Number of Livestock in June,2010,Cattle: under 1 year,South-East,000 Head,327.4
Number of Livestock in June,2010,Cattle: under 1 year,South-West,000 Head,344.3
Number of Livestock in June,2011,Dairy cows,Border,000 Head,100.5
Number of Livestock in June,2011,Dairy cows,Midland,000 Head,75.7
Number of Livestock in June,2011,Dairy cows,West,000 Head,47
Number of Livestock in June,2011,Dairy cows,Dublin plus Mid East,000 Head,78
Number of Livestock in June,2011,Dairy cows,Mid-West,000 Head,177
Number of Livestock in June,2011,Dairy cows,South-East,000 Head,254.4
Number of Livestock in June,2011,Dairy cows,South-West,000 Head,384.4
Number of Livestock in June,2011,Other cows,Border,000 Head,199
Number of Livestock in June,2011,Other cows,Midland,000 Head,141.8
Number of Livestock in June,2011,Other cows,West,000 Head,244.7
Number of Livestock in June,2011,Other cows,Dublin plus Mid East,000 Head,89.4
Number of Livestock in June,2011,Other cows,Mid-West,000 Head,155.2
Number of Livestock in June,2011,Other cows,South-East,000 Head,153.8
Number of Livestock in June,2011,Other cows,South-West,000 Head,139.3
Number of Livestock in June,2011,Bulls,Border,000 Head,8.8
Number of Livestock in June,2011,Bulls,Midland,000 Head,5.6
Number of Livestock in June,2011,Bulls,West,000 Head,9.1
Number of Livestock in June,2011,Bulls,Dublin plus Mid East,000 Head,3.6
Number of Livestock in June,2011,Bulls,Mid-West,000 Head,7.5
Number of Livestock in June,2011,Bulls,South-East,000 Head,8
Number of Livestock in June,2011,Bulls,South-West,000 Head,9.7
Number of Livestock in June,2011,Cattle: 2 years and over,Border,000 Head,97.4
Number of Livestock in June,2011,Cattle: 2 years and over,Midland,000 Head,123
Number of Livestock in June,2011,Cattle: 2 years and over,West,000 Head,121.4
Number of Livestock in June,2011,Cattle: 2 years and over,Dublin plus Mid East,000 Head,98.5
Number of Livestock in June,2011,Cattle: 2 years and over,Mid-West,000 Head,122.3
Number of Livestock in June,2011,Cattle: 2 years and over,South-East,000 Head,148.1
Number of Livestock in June,2011,Cattle: 2 years and over,South-West,000 Head,126.6
Number of Livestock in June,2011,Cattle: 1-2 years,Border,000 Head,200.3
Number of Livestock in June,2011,Cattle: 1-2 years,Midland,000 Head,194.5
Number of Livestock in June,2011,Cattle: 1-2 years,West,000 Head,199.5
Number of Livestock in June,2011,Cattle: 1-2 years,Dublin plus Mid East,000 Head,139.2
Number of Livestock in June,2011,Cattle: 1-2 years,Mid-West,000 Head,208.7
Number of Livestock in June,2011,Cattle: 1-2 years,South-East,000 Head,297.4
Number of Livestock in June,2011,Cattle: 1-2 years,South-West,000 Head,278.1
Number of Livestock in June,2011,Cattle: under 1 year,Border,000 Head,250.1
Number of Livestock in June,2011,Cattle: under 1 year,Midland,000 Head,207.1
Number of Livestock in June,2011,Cattle: under 1 year,West,000 Head,264.2
Number of Livestock in June,2011,Cattle: under 1 year,Dublin plus Mid East,000 Head,137.8
Number of Livestock in June,2011,Cattle: under 1 year,Mid-West,000 Head,271.3
Number of Livestock in June,2011,Cattle: under 1 year,South-East,000 Head,345.6
