"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","2001","000 Head","133.5"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","2002","000 Head","122.9"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","2003","000 Head","130.8"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","2004","000 Head","128.8"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1991","000 Head","208.7"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1992","000 Head","206.3"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1993","000 Head","200"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1994","000 Head","198.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1995","000 Head","202.8"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1996","000 Head","204.6"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1997","000 Head","216.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1998","000 Head","227.5"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","1999","000 Head","206.9"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","2000","000 Head","188.5"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","2001","000 Head","185.1"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","2002","000 Head","197.7"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","2003","000 Head","205.1"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 1-2 years","2004","000 Head","188.6"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1991","000 Head","172"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1992","000 Head","164.2"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1993","000 Head","170.7"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1994","000 Head","170.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1995","000 Head","168.6"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1996","000 Head","176.3"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1997","000 Head","187.3"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1998","000 Head","191.2"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","1999","000 Head","177.2"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","2000","000 Head","180.5"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","2001","000 Head","174.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","2002","000 Head","187.7"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","2003","000 Head","193.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: under 1 year","2004","000 Head","194.3"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1991","000 Head","78.5"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1992","000 Head","78.5"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1993","000 Head","76.5"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1994","000 Head","74.1"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1995","000 Head","73.7"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1996","000 Head","75.5"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1997","000 Head","75.2"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1998","000 Head","75.5"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","1999","000 Head","72.5"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","2000","000 Head","69.6"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","2001","000 Head","68.6"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","2002","000 Head","68"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","2003","000 Head","67.4"
"Number of Livestock in June (1991 - 2004)","West","Dairy cows","2004","000 Head","65.6"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1991","000 Head","190.3"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1992","000 Head","199.4"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1993","000 Head","217.8"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1994","000 Head","224.4"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1995","000 Head","231.2"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1996","000 Head","246.5"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1997","000 Head","270"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1998","000 Head","281.2"
"Number of Livestock in June (1991 - 2004)","West","Other cows","1999","000 Head","276.3"
"Number of Livestock in June (1991 - 2004)","West","Other cows","2000","000 Head","263.9"
"Number of Livestock in June (1991 - 2004)","West","Other cows","2001","000 Head","266.3"
"Number of Livestock in June (1991 - 2004)","West","Other cows","2002","000 Head","256.1"
"Number of Livestock in June (1991 - 2004)","West","Other cows","2003","000 Head","263.5"
"Number of Livestock in June (1991 - 2004)","West","Other cows","2004","000 Head","267"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1991","000 Head","1.7"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1992","000 Head","2.2"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1993","000 Head","2.6"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1994","000 Head","3"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1995","000 Head","3.3"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1996","000 Head","4"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1997","000 Head","4.6"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1998","000 Head","4.8"
"Number of Livestock in June (1991 - 2004)","West","Bulls","1999","000 Head","5.3"
"Number of Livestock in June (1991 - 2004)","West","Bulls","2000","000 Head","7.2"
"Number of Livestock in June (1991 - 2004)","West","Bulls","2001","000 Head","7.9"
"Number of Livestock in June (1991 - 2004)","West","Bulls","2002","000 Head","9"
"Number of Livestock in June (1991 - 2004)","West","Bulls","2003","000 Head","9"
"Number of Livestock in June (1991 - 2004)","West","Bulls","2004","000 Head","9.9"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1991","000 Head","175.4"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1992","000 Head","187.1"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1993","000 Head","175.8"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1994","000 Head","166.8"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1995","000 Head","168.8"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1996","000 Head","173.7"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1997","000 Head","163.2"
