"STATISTIC Label","Year","Type of Animal","Region","UNIT","VALUE"
"Number of Livestock in June","2011","Total goats","West","000 Head","1.8"
"Number of Livestock in June","2011","Total goats","Dublin plus Mid East","000 Head","1.6"
"Number of Livestock in June","2011","Total goats","Mid-West","000 Head","1.2"
"Number of Livestock in June","2011","Total goats","South-East","000 Head","0.9"
"Number of Livestock in June","2011","Total goats","South-West","000 Head","1.7"
"Number of Livestock in June","2012","Total cattle","Border","000 Head","883.7"
"Number of Livestock in June","2012","Total cattle","Midland","000 Head","783.2"
"Number of Livestock in June","2012","Total cattle","West","000 Head","914.6"
"Number of Livestock in June","2012","Total cattle","Dublin plus Mid East","000 Head","560.6"
"Number of Livestock in June","2012","Total cattle","Mid-West","000 Head","989.3"
"Number of Livestock in June","2012","Total cattle","South-East","000 Head","1265.1"
"Number of Livestock in June","2012","Total cattle","South-West","000 Head","1357.6"
"Number of Livestock in June","2012","Total sheep","Border","000 Head","1108.9"
"Number of Livestock in June","2012","Total sheep","Midland","000 Head","335.3"
"Number of Livestock in June","2012","Total sheep","West","000 Head","1377.2"
"Number of Livestock in June","2012","Total sheep","Dublin plus Mid East","000 Head","772"
"Number of Livestock in June","2012","Total sheep","Mid-West","000 Head","131.8"
"Number of Livestock in June","2012","Total sheep","South-East","000 Head","699.6"
"Number of Livestock in June","2012","Total sheep","South-West","000 Head","745.1"
"Number of Livestock in June","2012","Total pigs","Border","000 Head","429.5"
"Number of Livestock in June","2012","Total pigs","Midland","000 Head","271.3"
"Number of Livestock in June","2012","Total pigs","West","000 Head","50.1"
"Number of Livestock in June","2012","Total pigs","Dublin plus Mid East","000 Head","73.3"
"Number of Livestock in June","2012","Total pigs","Mid-West","000 Head","100"
"Number of Livestock in June","2012","Total pigs","South-East","000 Head","306.3"
"Number of Livestock in June","2012","Total pigs","South-West","000 Head","340.4"
"Number of Livestock in June","2012","Total horses and ponies","Border","000 Head","13.3"
"Number of Livestock in June","2012","Total horses and ponies","Midland","000 Head","8.9"
"Number of Livestock in June","2012","Total horses and ponies","West","000 Head","24.1"
"Number of Livestock in June","2012","Total horses and ponies","Dublin plus Mid East","000 Head","15.5"
"Number of Livestock in June","2012","Total horses and ponies","Mid-West","000 Head","15.5"
"Number of Livestock in June","2012","Total horses and ponies","South-East","000 Head","20.1"
"Number of Livestock in June","2012","Total horses and ponies","South-West","000 Head","13.6"
"Number of Livestock in June","2012","Total mules, jennets and asses","Border","000 Head","2"
"Number of Livestock in June","2012","Total mules, jennets and asses","Midland","000 Head","0.5"
"Number of Livestock in June","2012","Total mules, jennets and asses","West","000 Head","3"
"Number of Livestock in June","2012","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.7"
"Number of Livestock in June","2012","Total mules, jennets and asses","Mid-West","000 Head","1.9"
"Number of Livestock in June","2012","Total mules, jennets and asses","South-East","000 Head","0.6"
"Number of Livestock in June","2012","Total mules, jennets and asses","South-West","000 Head","1.1"
"Number of Livestock in June","2012","Total goats","Border","000 Head","1.2"
"Number of Livestock in June","2012","Total goats","Midland","000 Head","2.1"
"Number of Livestock in June","2012","Total goats","West","000 Head","0.9"
"Number of Livestock in June","2012","Total goats","Dublin plus Mid East","000 Head","1.8"
"Number of Livestock in June","2012","Total goats","Mid-West","000 Head","1.4"
"Number of Livestock in June","2012","Total goats","South-East","000 Head","0.6"
"Number of Livestock in June","2012","Total goats","South-West","000 Head","2.3"
"Number of Livestock in June","2013","Total cattle","Border","000 Head","893.7"
"Number of Livestock in June","2013","Total cattle","Midland","000 Head","801"
"Number of Livestock in June","2013","Total cattle","West","000 Head","928.4"
"Number of Livestock in June","2013","Total cattle","Dublin plus Mid East","000 Head","580.5"
"Number of Livestock in June","2013","Total cattle","Mid-West","000 Head","1009.1"
"Number of Livestock in June","2013","Total cattle","South-East","000 Head","1313.2"
"Number of Livestock in June","2013","Total cattle","South-West","000 Head","1376.8"
"Number of Livestock in June","2013","Total sheep","Border","000 Head","1076.1"
"Number of Livestock in June","2013","Total sheep","Midland","000 Head","306.3"
"Number of Livestock in June","2013","Total sheep","West","000 Head","1328.5"
"Number of Livestock in June","2013","Total sheep","Dublin plus Mid East","000 Head","782"
"Number of Livestock in June","2013","Total sheep","Mid-West","000 Head","124.6"
"Number of Livestock in June","2013","Total sheep","South-East","000 Head","688.2"
"Number of Livestock in June","2013","Total sheep","South-West","000 Head","701.3"
"Number of Livestock in June","2013","Total pigs","Border","000 Head","417.1"
"Number of Livestock in June","2013","Total pigs","Midland","000 Head","273.2"
"Number of Livestock in June","2013","Total pigs","West","000 Head","43.8"
"Number of Livestock in June","2013","Total pigs","Dublin plus Mid East","000 Head","82.6"
"Number of Livestock in June","2013","Total pigs","Mid-West","000 Head","93.2"
"Number of Livestock in June","2013","Total pigs","South-East","000 Head","312.3"
"Number of Livestock in June","2013","Total pigs","South-West","000 Head","330.2"
"Number of Livestock in June","2013","Total horses and ponies","Border","000 Head","11.7"
"Number of Livestock in June","2013","Total horses and ponies","Midland","000 Head","9.6"
"Number of Livestock in June","2013","Total horses and ponies","West","000 Head","19.6"
"Number of Livestock in June","2013","Total horses and ponies","Dublin plus Mid East","000 Head","15.8"
"Number of Livestock in June","2013","Total horses and ponies","Mid-West","000 Head","11.6"
"Number of Livestock in June","2013","Total horses and ponies","South-East","000 Head","20.4"
"Number of Livestock in June","2013","Total horses and ponies","South-West","000 Head","12.9"
"Number of Livestock in June","2013","Total mules, jennets and asses","Border","000 Head","1.6"
"Number of Livestock in June","2013","Total mules, jennets and asses","Midland","000 Head","0.4"
"Number of Livestock in June","2013","Total mules, jennets and asses","West","000 Head","2.8"
"Number of Livestock in June","2013","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.6"
"Number of Livestock in June","2013","Total mules, jennets and asses","Mid-West","000 Head","1.4"
"Number of Livestock in June","2013","Total mules, jennets and asses","South-East","000 Head","0.6"
"Number of Livestock in June","2013","Total mules, jennets and asses","South-West","000 Head","0.8"
"Number of Livestock in June","2013","Total goats","Border","000 Head","1"
"Number of Livestock in June","2013","Total goats","Midland","000 Head","0.7"
"Number of Livestock in June","2013","Total goats","West","000 Head","1.1"
"Number of Livestock in June","2013","Total goats","Dublin plus Mid East","000 Head","1.8"
"Number of Livestock in June","2013","Total goats","Mid-West","000 Head","1.4"
"Number of Livestock in June","2013","Total goats","South-East","000 Head","0.7"
"Number of Livestock in June","2013","Total goats","South-West","000 Head","1.9"
"Number of Livestock in June","2014","Total cattle","Border","000 Head","886.9"
"Number of Livestock in June","2014","Total cattle","Midland","000 Head","793.8"
"Number of Livestock in June","2014","Total cattle","West","000 Head","923"
"Number of Livestock in June","2014","Total cattle","Dublin plus Mid East","000 Head","592.4"
"Number of Livestock in June","2014","Total cattle","Mid-West","000 Head","1018.6"
